profile,first_name,last_name,gender,loaction
https://www.linkedin.com/in/elizabethweil,Elizabeth,Weil,,"Menlo Park, California, United States"
https://www.linkedin.com/in/alexisohanian,Alexis,Ohanian Sr.,Male,Miami-Fort Lauderdale Area
https://www.linkedin.com/in/davidjli,David,Li,,San Francisco Bay Area
https://www.linkedin.com/in/matt-holleran-291a773,Matt,Holleran,,"Menlo Park, California, United States"
https://www.linkedin.com/in/reidchristian,Reid,Christian,,San Francisco Bay Area
https://www.linkedin.com/in/heath-lukatch-86a2a,Heath,Lukatch,,"San Francisco, California, United States"
https://www.linkedin.com/in/karahartnetthurst,Kara,Hartnett Hurst,Female,Greater Seattle Area
https://www.linkedin.com/in/jim-momtazee-65634918b,Jim,Momtazee,,"Menlo Park, California, United States"
https://www.linkedin.com/in/masaya-kawakami-581b6b6b,Masaya,Kawakami,,Singapore
https://www.linkedin.com/in/ryosukek,Ryosuke,Kimura,,"Yokohama, Kanagawa, Japan"
https://www.linkedin.com/in/george-montgomery-3a4a2120,George,Montgomery,,"Los Angeles, California, United States"
https://www.linkedin.com/in/ando-masaaki-2832927b/,Ando,Masaaki,,Japan
https://www.linkedin.com/in/keisukewada,Keisuke,Wada,,Greater Tokyo Area
https://www.linkedin.com/in/morgan-kessous-b3b94628,Morgan,Kessous,,"Paris, ÃŽle-de-France, France"
https://www.linkedin.com/in/geeta-vemuri-24849b105,Geeta,Vemuri,,"Boston, Massachusetts, United States"
https://www.linkedin.com/in/lawrence-handen-8376728,Lawrence,Handen,,"New York, New York, United States"
https://www.linkedin.com/in/ravimhatre,Ravi,Mhatre,,San Francisco Bay Area
https://www.linkedin.com/in/yochai-hacohen-05b9423,Yochai,Hacohen,,Israel
https://www.linkedin.com/in/petechung,Pete,Chung,,San Francisco Bay Area
https://www.linkedin.com/in/sumir-chadha-bb8b563,Sumir,Chadha,,San Francisco Bay Area
